First Name,Last Name,Email,Phone,Status,Category,Offered Program,Program Mode,Number of Programs,State,Address,Date of Enrollment
Kapil,Arora,kapil.arora@in.gt.com,8676789800,Confirmed,Combo,BT; TX; MA,Online Live,3,Delhi,Faridabad,05/07/2024
Muskaan,,muskaan@in.gt.com,3456789878,Confirmed,Combo,Skill,Online Live,4,Delhi,New Delhi,06/07/2024
Samarth,,samarth@in.gt.com,9654678908,Confirmed,Individual,Knowledge,Online Live,1,Uttar Pradesh,Noida,07/07/2024
Divyam,,divyam@in.gt.com,9654678908,Confirmed,Individual,CPA,Online Live,1,Uttar Pradesh,Noida,07/07/2024
Amit,Chauhan,amit.chauhan1@in.gt.com,8676789800,Confirmed,Combo,Skill,Online Live,3,Haryana,Gurugram,08/07/2024
Kamal,,amitchauhan1@in.gt.com,9883312168,Confirmed,Combo,BT; TX; MA,Online Live,1,Delhi,Faridabad,05/07/2024
Divy,Parikh,divy.parikh@in.gt.com,9765969696,Confirmed,Combo,Skill,Online Live,2,Delhi,New Delhi,06/07/2024
Anuj,Kumar,anuj.kumar@in.gt.com,9757075486,Confirmed,Individual,Knowledge,Online Live,3,Uttar Pradesh,Noida,07/07/2024
Sumit,,sumit@in.gt.com,8575648585,Confirmed,Individual,CPA,Online Live,3,Uttar Pradesh,Noida,07/07/2024
Jaineet,Arora,jaineet.arora@in.gt.com,9365428467,Confirmed,Combo,Skill,Online Live,1,Haryana,Gurugram,08/07/2024
Sonika,,sonika@in.gt.com,8962447651,Confirmed,Combo,BT; TX; MA,Online Live,4,Delhi,Faridabad,05/07/2024
Disha,,disha@in.gt.com,9756498776,Confirmed,Combo,Skill,Online Live,1,Delhi,New Delhi,06/07/2024
Itti,,itti@in.gt.com,8407992134,Confirmed,Individual,Knowledge,Online Live,4,Uttar Pradesh,Noida,07/07/2024
