sno,firstName,lastName,email,phone,status,category,offeredProgram,subjectName,programMode,numberofPrograms,state,address,joiningDate
1,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
2,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
3,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
4,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
5,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
6,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
7,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
8,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
9,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
10,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
11,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
12,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
13,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
14,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
15,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
16,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
17,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
18,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
19,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
20,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
21,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
22,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
23,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
24,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
25,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
26,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
27,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
28,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
29,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
30,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
31,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
32,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
33,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
34,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
35,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
36,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
37,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
38,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
39,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
40,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
41,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
42,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
43,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
44,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
45,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
46,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
47,Divy,Parikh,divy.parikh@gmail.com,3456789878,Confirmed,Combo,Skill,,Online Live,4,Delhi,New Delhi,06-07-2024
48,Anuj,Kumar,anuj.kumar@gmail.com,9654678908,Confirmed,Individual,Knowledge,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
49,Divyam,,divyam@gmail.com,9654678908,Cancelled,Individual,CPA,,Online Live,1,Uttar Pradesh,Noida,07-07-2024
50,Jaineet,Arora,jaineet.arora@gmail.com,8676789800,Confirmed,Combo,Skill,,Online Live,3,Haryana,"Gurugram,",08-07-2024
51,Amit,Chauhan,amitchauhan77717@gmail.com,8676789800,Confirmed,Combo,"BT; TX; MA",,Online Live,3,Delhi,Faridabad,05-07-2024
